title	call_to_action_label	call_to_action_explanation
New Zealand to donate further COVID_19 vaccines to Tonga and Samoa	Strong	The announcement strongly encourages the target audience, primarily young people aged 16 and 17, to take the booster dose of the Pfizer vaccine. Using phrases like "They can do this by visiting any walk-in vaccination clinic around the country" and "This is also a reminder to any New Zealander who hasn’t yet had their booster" the government is urging immediate action. Additionally, the announcement provides specific instructions on how to check when one is due for a booster and how to book a vaccination slot, further emphasizing the call to action.
Young people aged 16 and 17 eligible for COVID_19 boosters	None	The announcement is focused primarily on informing the public about the government's actions, plans, and decisions regarding the Pfizer/BioNTech vaccine, its order, and its distribution schedule. The announcement does not contain any explicit instruction or request for the public or reader to take any specific action, such as getting vaccinated, following specific guidelines, etc. Instead, it's about what the government has done and will do in terms of vaccine procurement and distribution.
Govt purchases enough Pfizer vaccines for whole country	Strong	The announcement consistently urges the public or reader to participate in the vaccine rollout program by signing up for and acquiring a 'My Vaccine Pass.' The announcement conveys this using direct and compelling language, such as "We’re asking fully vaccinated New Zealanders to get ready for summer by requesting their pass," and "we’re strongly encouraging those who’ve been putting off getting a vaccine to take that step now." Moreover, the Minister for COVID-19 Response, Chris Hipkins, describes the vaccine pass as an "official proof of vaccination," and a "ticket to enjoy the extra freedoms," further enhancing the sense of urgency and importance around the action. This consistent urging combined with the strong language used qualifies the announcement as a strong call to action.
Vaccine pass ready for a Kiwi summer	None	This announcement does not include a call to action directed at the public or reader. Instead, it focuses on informing about the actions taken by the New Zealand government and their Foreign Minister, Nanaia Mahuta, in relation to helping Tonga navigate through the COVID-19 pandemic. It outlines their commitments and programs, such as a funded partnership program and provision of COVID-19 aid, but at no point does it urge or invite the reader or public to take a specific action or respond.
New Zealand announces new partnership to develop Tonga_s resilient health workforce	None	This announcement does not have a call to action for the public or reader. The speaker, Grant Robertson, is mainly discussing the current economic situation in New Zealand, the government's economic strategies, and their plans for future budgeting with respect to the ongoing recovery from COVID-19. He does not explicitly urge the public to take any specific action or participate in any particular activity. Instead, the communication focuses more on informing the public of government actions and initiatives.
Economic resilience provides more options in Budget 2021	Moderate	The announcement includes a moderate call to action encouraging the public to stay up-to-date with their COVID-19 vaccinations and to download an updated version of the 'My Vaccine Pass'. The language used is gently persuasive but lacks a sense of urgency so it cannot be categorized as a strong call to action. However, the note does not merely passively suggest the actions, hence it is more than a weak call to action. It provides reasons for the suggested actions, highlighting the utility of the updated pass as a "record of their vaccination status" and for potential requirements by some businesses.
Updated My Vaccine Pass for those who want it	None	In this announcement, the focus is on informing the public about the government's preparations for the COVID-19 vaccine rollout, without urging any immediate or direct action from the readers. The text provides details about the vaccination hubs and ultra-low temperature freezers as part of the rollout strategy, but does not include any specific appeals or requests for the public's engagement or response.
More freezers and South Island hub to support vaccine roll_out	Strong	The government announcement urges the Pacific community to take immediate action towards getting vaccinated, particularly for the booster dose and children's vaccines. The Associate Minister of Health explicitly asks the community to "prepare for Omicron by getting your booster and vaccinating our young children." The announcement further emphasizes the urgency by describing the potentially devastating impact of the Omicron variant and the need to protect health care systems.
Funding for Pacific Community as we get ready for Omicron	Weak	This announcement leans towards a weak call to action, as it does passively suggest that the individuals should take action by receiving their vaccinations. The language "Achieving high rates of vaccination is critical..." does urge the public to participate in the vaccine rollout; however, the primary focus of the announcement is informing the public of the government's plans and prep for re-opening the borders and maintaining the Elimination Strategy of COVID-19. It does not use compelling language to emphasize immediate action or urgency from the public. Instead, the announcement leans more into outlining governmental strategy and precautions related to the border reopening.
Government releases expert advice on Reconnecting New Zealanders	None	The announcement primarily serves an informative purpose, detailing the arrival and availability of new treatments for COVID-19 in New Zealand, along with clarifying their uses. It does not call for the public or reader to take any specific actions in response, such as seeking these treatments or getting vaccinated. Furthermore, the distribution of new medication is conveyed to be on the schema of prioritizing the most vulnerable individuals, not an open invitation to the public.
More COVID medicines for most at_risk New Zealanders	None	This announcement primarily describes the discussion, statements, and decisions made during the ASEAN-New Zealand Commemorative Summit, including their strategies for managing the COVID-19 pandemic, with an emphasis on cooperation in areas of health and economics. However, no specific actions are requested or expected from the public or the reader, rendering it informational rather than a call-to-action.
Prime Minister meets with key ASEAN and East Asia Summit partners	Strong	This government announcement includes a strong call to action directed at the public. There are several explicit encouragements for eligible parties to get vaccinated against the flu as part of the COVID-19 winter plan. The Health Minister, Andrew Little, strongly urges as many people as possible to get the vaccine. He gives particular emphasis to the urgency of this call to action by stating, "in an ordinary year, flu kills more than 500 New Zealanders. And this is no ordinary year." He further reinforces the necessity for the most vulnerable individuals to get vaccinated in the context of the ongoing COVID-19 pandemic and the reopening of borders.
Two million flu shots for COVID winter plan	None	The announcement does not directly urge the public or reader to take any specific action. Instead, it discusses the implementation of vaccine requirements for certain sectors like the New Zealand Police and Defence Force, and shares information about the vaccination rates within these sectors. The main purpose seems to be informing the public of these stringent measures and assuring them of the government's commitment to ensuring safety in the face of the pandemic.
Workplace vaccination requirements extended to cover Police and NZ Defence Force	Moderate	This government announcement primarily provides information about plans and updated regulations regarding vaccination efforts. However, it does feature a moderate call to action, directed at border employers, urging them to facilitate easy vaccine appointments for their employees and to motivate their employees to get vaccinated. A call is also made to the workers, noting that those who remain unvaccinated after the requirements come into effect will need to communicate with their employers, as they will not be able to continue working in a high-risk border environment without vaccination. There is no use of overtly direct and compelling language, but the message for action is clear and time-bound.
Govt makes COVID_19 vaccinations mandatory for more border jobs	Moderate	The announcement encourages the public, specifically business travellers and employers, to participate in the self-isolation pilot by applying through an Expressions of Interest (EOI) process. It provides detailed criteria and deadlines for submission, highlighting the significance of following this new isolation path. While it doesn't use necessarily urgent or compelling language, it does place emphasis on the necessity for involvement in the pilot for its success, hence, showing elements of a moderate call to action.
Self_isolation pilot to start with 150 people	Moderate	This is considered a moderate call to action because the announcement encourages individuals, particularly those who are still unsure about receiving the vaccination, to get their first and subsequently the second dose within the specified timeline. The language used in the announcement, specifically "I encourage you to do this. It will keep you safe," urges action but does not express extreme urgency or strong persuasion, therefore putting it within the moderate category.
One more day for border workers to get vaccinated_ rates already above 98_	None	This announcement does not contain any direct call to action for the public or reader, as it primarily outlines government actions and plans in response to mental health issues resulting from COVID-19 disruptions in Auckland. There is no explicit urge for the public or reader to do something specific. Instead, the announcement informs about the government's support for mental health services, online parenting support packages, and how the government has been addressing mental well-being throughout the pandemic.
More Mental wellbeing supports for Auckland	Moderate	The announcement encourages the public to get vaccinated. It emphasizes the importance and benefits of vaccination, and expresses appreciation for those who have already taken action. However, it stops short of using compelling, direct language to demand immediate action.
Number of New Zealanders fully vaccinated passes 1 million	Moderate	The announcement encourages the public, particularly the Māori community, to continue getting vaccinated. The call to action uses phrases like "We must now build on the collective mahi" and "let’s keep this massive effort going to keep our whānau and Aotearoa safe by getting vaccinated” to support the label choice. It does not use strong words or phrases to urgently implore the reader to take action immediately, but emphasizes the importance of vaccination and following the ongoing initiatives.
Super Māori turnout for Super Saturday	None	The announcement is primarily a report on the Foreign Affairs Minister's activities and the outcomes of the CHOGM 2022 meeting. It discusses various issues such as the global impact of the war on Ukraine, climate change, vaccine equity, and welcomes new members to the Commonwealth. However, it does not explicitly urge the public or the reader to take any specific action. The focus is on informing the public about the government's engagements and reaffirmations made during the meeting, rather than calling for public action or response.
New Zealand_s Commonwealth relationships strengthened at CHOGM	Strong	This government announcement is filled with many direct commands for the public, making it a strong call to action. It instructs eligible people to get their COVID-19 booster shot, explicitly stating, "Get boosted, and wear a mask when you can’t distance from others." The announcement also urges adherence to new mask requirements, specifying how and when masks should be worn properly for maximum efficacy. Additionally, the announcement provides actionable details on how to book vaccination appointments, further implicating a very direct plea for public action.
Boosters and increased mask_use to prepare for Omicron	None	This government announcement discusses the financial status of the country and outlines the government's recovery plan in light of the COVID-19 pandemic, including the vaccine rollout and border reopening. However, there is no explicit instruction or urging for the public or reader to take any specific action. The announcement is focused on informing the public about the government's plans and actions, not soliciting action from the public.
Crown accounts show confidence in Govt economic plan	Moderate	The announcement seeks to encourage the deaf, hard of hearing, and speech impaired community to utilize the newly launched text service in order to access important vaccination-related resources. This is conveyed through statements like "They can now text 8988 for access to vaccine information, help to book a vaccination appointment, or support with transport." However, while it discusses the importance of getting vaccinated and making use of the support services, the language remains moderately urgent, not aggressive or pressing, which is why it is a moderate call to action.
New text service to support disabled peoples_ vaccinations	None	The announcement does not urge the public or reader to take any specific action. Instead, the announcement focuses on informing the public about the arrival of the first batch of COVID-19 vaccines and the government's plans for its distribution, starting with border workers and their families, followed by essential workers and those most at risk, and finally the wider population. The announcement is aimed at communicating government actions, not soliciting actions from the public.
Joint statement_ Prime Ministers Jacinda Ardern and Scott Morrison	None	The announcement focuses predominantly on the actions the government and leaders representing the 21 APEC economies are taking or planning to take in response to the COVID-19 crisis. The prime minister is informing the public about their collaborative efforts on vaccine dissemination, domestic COVID-19 management, evolving strains and health dimensions, sustaining economies etc. Although the text emphasizes collective action and the necessity of working together, it does not explicitly urge the reader or the general public to take any specific action related to COVID-19 or the vaccine rollout. Therefore, there is no direct call to action in this announcement.
New Zealand_s first COVID_19 vaccine to arrive earlier than expected	Weak	The announcement does give a passive suggestion for the public to get their vaccine shots, especially as there is a mention of the aim to reach at least 90% vaccination rates across all DHBs, and the availability of vaccines for every eligible person. However, there is no direct, compelling language aimed specifically at the public to urgently get vaccinated. The announcement primarily focuses on providing information about the government's purchase agreement with Pfizer for additional vaccine doses, and their planned distribution.
PM Ardern chairs APEC Leaders_ meeting on COVID_19	Moderate	The announcement actively encourages ethnic community organisations to take action in increasing communication and engagement about COVID-19 vaccinations within their communities. It promotes these organisations to apply for the funding available and to utilize it in initiatives that enhance the reach of vaccination information. However, it doesn't use strong or compelling language that communicates a sense of immediate urgency. The call to action is targeted at community organisations rather than the general public.
Additional Pfizer COVID_19 vaccines purchased	None	This government announcement focuses primarily on providing information about the current status of vaccine negotiations, testing, and rollout plans. It does not explicitly urge the public or readers to take any specific actions related to COVID-19 or the forthcoming vaccines. The public is merely being updated on government plans and actions, with no participation or response explicitly requested or implied.
Extra support for Ethnic Communities to share vaccination information	Moderate	The announcement encourages the public to take action by highlighting the importance of getting vaccinated. The minister points out the efforts to have hundreds of vaccination locations open until Christmas and over summer holidays, making it easier for everyone to get vaccinated. However, the language is not overly strong or urgent. It encourages everyone who is yet to get vaccinated to do so, and also encourages the use of trusted sources for information, but it does not demand immediate action. The call to action is framed as a necessary step to protect communities and ensure no one is left behind, implying both a collective obligation and individual responsibility.
COVID_19 vaccine progress encouraging	None	The announcement primarily focuses on discussing the current state of the nation's finances, economic projections, and government actions taken. However, it does not explicitly implore the public or the reader to take any specific actions. Instead, it outlines the government's actions thus far and its plans for the future.
Aotearoa hits 90 percent fully vaccinated milestone	Weak	Although the announcement mentions the availability of the Positive Parenting Programme and provides the link where these programs can be accessed, there is no strong or compelling language to urge the public or readers to make use of these resources. The call to action is presented in an informative manner, rather than urging immediate action.
Govt books solid as global situation worsens	Moderate	The announcement encourages the public, particularly the Māori community, to continue getting vaccinated against COVID-19 and emphasizes the importance of doing so not just for oneself but for the community. The minister's clear message - "come forward, get vaccinated" - underlines this call. However, the use of direct and compelling language is not as strong or urgent, thus classifying the call to action as moderate.
Govt expands mental health	Weak	The announcement seems more focused on informing the public about the available supports and programmes rather than directly urging them to take action. The call to action in this context can be inferred indirectly as the text encourages parents to utilize these online parenting programmes, but it does so passively and without strong or immediate urgency.
Major milestones for Māori COVID_19 vaccine rollout as new campaign launches	Moderate	The announcement makes a clear call to action but it is presented in a generally encouraging tone rather than urgent or compelling. Statements such as, "My number one message is come forward, get vaccinated," indicate a clear desire for the public to take action. The announcement provides various information on where and how to get vaccinated. However, the language used does not emphasize urgency or immediate action. Instead, it encourages participation and stresses the benefits and success of the vaccination efforts thus far, hence a classification of "moderate" urgency.
