title	call_to_action_label	call_to_action_explanation
Government to add COVID-19 to Vaccine Damage Payments Scheme	None	The announcement does not present any appeal or request for specific actions from the public or the reader. Instead, it largely shares information about the safety measures and precautions the government is taking during the COVID-19 vaccine rollout.
Letter from the Deputy Chief Medical Officer to UK vaccine study volunteers	None	The announcement is not calling on the public or reader to take any particular action. Rather, it is informing those involved in formally approved COVID-19 vaccine trials about their position and rights in regard to a potential domestic vaccine certification. It's focused on providing information rather than urging any sort of action.
MHRA response to JCVI advice on COVID-19 Vaccine AstraZeneca for people aged under 40	Moderate	The announcement encourages the public to take action in two specific ways. With moderate urgency, it impresses upon the public that it is still important to get vaccinated when invited and asserts that those who suspect they have experienced side effects linked with the COVID-19 vaccine should report to the Coronavirus Yellow Card website. These are not overly forceful directives, hence they fall under a moderate call to action rather than a strong one.
COVID-19 vaccines have prevented 10,400 deaths in older adults	Moderate	The announcement contains words of encouragement from both Matt Hancock and Dr Mary Ramsay aimed at the public to get vaccinated when they receive a call. However, the language is not overly urgent or compelling, thus justifying a moderate call to action. The public is being urged to follow a course of action i.e., getting vaccinated, hence demonstrating the moderate call to action.
Government updates on identifying and tackling COVID-19 disparities	Moderate	The government announcement presents an urgent appeal to the public to get vaccinated against COVID-19, particularly targeting the ethnic minority groups who are reported to be more hesitant. However, it lacks strong, compelling language, instead opting for a more informative and encouraging approach, thus falling into the category of a moderate call to action. This is evident in statements like: "I urge everyone who is offered one to take the opportunity, to protect themselves, their family, and their community," and through the actions outlined to promote vaccine uptake among specific communities.
Chief medical officers to consider vaccinating people aged 12 to 15 following JCVI advice	Moderate	The announcement urges individuals who are eligible (especially those aged 12 to 15 with increased vulnerability due to certain health conditions or household circumstances) to come forward to receive their COVID-19 vaccine. However, the announcement does not use particularly urgent or compelling language. This is mostly centered in the statements of various health ministers, who encourage readers with phrases like "take up the offer" and "get vaccinated as soon as possible". The emphasis in this announcement, however, is more on the deliberation process regarding expanding vaccination to a larger group in this age range.
COVID-19 vaccines rolled out to people aged 70 years and over from today	None	This government announcement primarily focuses on informing the public about the expansion of the vaccination programme, aiming to reach more age groups and those who are clinically vulnerable. It offers an update on the status of the vaccination rollout, restating the priority groups and relaying encouraging words from public figures. However, it does not directly request or instruct the public to do anything specific, such as booking vaccine appointments, following guidelines, or doing something else related to the information provided.
Self-isolation to be eased for fully vaccinated adults in step 4	Moderate	The announcement encourages the public to take certain actions, albeit not with high urgency. It encourages all adults to get vaccinated, and both double vaccinated individuals and children to take PCR tests if they are close contacts of a positive case. It also encourages everyone in England to use the government's offer of free, twice weekly rapid testing. While the language is not intense or strongly urgent, it is clear and persistent in stating the recommended actions to help control virus transmission, making it a moderate call to action.
Armed Forces to set up vaccine sites in Scotland	None	The announcement solely focuses on informing the public about the actions and measures the UK government and military are taking to facilitate the COVID-19 vaccine rollout in Scotland. It does not contain any direct requests for the public or readers to take specific actions related to the vaccination efforts.
Advice on phase 2 of the COVID-19 vaccination programme: DHSC statement	None	This government announcement primarily aims to inform the public about the current status and future plans regarding the COVID-19 vaccination programme. It discusses the interim advice from the Joint Committee on Vaccination and Immunisation, the importance of prioritisation by age, and the aims for the next phase of vaccine rollout. However, it does not explicitly request any action on the part of the general public. Rather, it seeks to provide information and ensure transparency in the implementation of the vaccination strategy.
UK moves into next phase of vaccine roll-out as government target hit early	Moderate	The announcement encourages, rather than insists or demands, the targeted age groups (notably 45-49 and then 40+) to book their vaccination appointments through the NHS booking service, and also prompts those who are aged 50 and over or are clinically extremely vulnerable and haven't yet received a vaccine to come forward. However, it does not use strong, urgent or compelling language to insist on the public's immediate action or participation, hence it's a moderate call to action.
JCVI advises on COVID-19 vaccine for people aged under 40	Moderate	This announcement encourages the public or reader to take action, although the urgency is moderate. It recommends those aged 18 to 39 with no underlying health conditions to consider an alternative to the Oxford/AstraZeneca vaccine if it doesn't cause a delay in being vaccinated. It also asks that people who have received their first dose of the Oxford/AstraZeneca vaccine to get their second jab, emphasizing it is vital to increase the level of protection. On another note, individuals are advised to seek medical aid if they experience specific symptoms within 4 days to 4 weeks following vaccination. While the language isn't very compelling, the implied consequences of non-compliance are serious, presenting a call to action.
COVID-19 vaccinations and care homes: programme launch	None	The announcement only provides information about the government's plan to roll out the Pfizer-BioNTech COVID-19 vaccine to care home staff, and there does not seem to be any explicit request for the public or reader to participate or take any action.
Over 70 million doses of COVID-19 vaccine administered in UK	Strong	This announcement contains a strong call to action, as it urges the public to take immediate and specific action referred to as getting vaccinated. This is evidenced in phrases like "public urged to come forward for their first and second doses when eligible," and "I urge all who are eligible to get their jab at the earliest possible opportunity." Furthermore, the constant reinforcement of the benefits and effectiveness of vaccination serves to persuade the reader to take prompt action. The call is strong and direct, explicitly targeting individuals who are eligible for the vaccine.
4 in 5 adults receive first dose of coronavirus (COVID-19) vaccine	Strong	The announcement strongly encourages the public to get vaccinated, especially urging people to come forward for their second doses to achieve the highest possible protection. The call to action is direct and explicit, using compelling language to stress the urgency of the situation, as seen in phrases such as "it is more important than ever that people come forward for their jabs when eligible" and "So if you get the call, get the jab to fight this virus".
Boosters provide high level of protection against death with Omicron	Strong	This government announcement features several instances of strong calls to action, directed at the public. It directly urges the readers to get their first, second, or third vaccine doses and their booster shot, emphasizing multiple times on increasing their protection against the virus. Furthermore, specific phrases such as "please book your appointment for your first, second or third vaccine without delay" and "please get boosted now" are direct and urge immediate action, qualifying this as a strong call to action.
Young COVID patients share stories to urge others to get jabbed	Strong	This announcement repeatedly urges the young population to get vaccinated against COVID-19. It presents serious implications of catching the virus, and centers its narrative on the urgent need to get vaccinated in order to avoid such complications, repeatedly using phrases such as "please get your vaccine", "get vaccinated". It also provides information on how and where the vaccination can be accessed, compelling the reader to act immediately. The use of direct quotations from professionals and affected individuals adds greater personal and emotional impetus to the urgency of this call to action. Therefore, the strength of the call to action is strong.
UK marks one year since approving COVID-19 vaccine with Boost Day	Strong	The announcement is filled with strong calls to action urging the public to get their booster vaccinations. Statements like "encourage eligible people to get their top-up jabs to protect themselves and their loved ones", "Everyone over the age of 40 who had their second dose at least three months ago will soon be able to book an appointment for their booster jab", "I encourage everybody to come forward to protect yourself and those around you", "If you are eligible for a Covid vaccination, we encourage you to book it", "it is vital people come forward to get their COVID-19 booster vaccine", "those eligible for a free flu vaccine should come forward and book an appointment", and "We strongly encourage everyone to book their booster jab via the NHS", all of which directly implore citizens to protect themselves and others by getting vaccinated. The language is direct and urgent, stressing the importance of these actions. The event "Boost Day" is also described as a one-off event clearly intended to create a sense of urgency and prompt immediate action.
13 million top-up COVID-19 vaccines given across the UK	Strong	Throughout the announcement, there are several strong calls to action where the public is being urged to get vaccinated immediately. These directives include direct quotes from public officials like Sajid Javid and Maggie Throup who use persuasive language to encourage the population to get their booster shots ("There is not a second to waste in getting your booster jab ", "getting the booster could be the most important thing you do this Christmas"). The announcement also urges eligible individuals to pre-book their booster shots, get their flu vaccines and emphasizes the importance of vaccines with real-world data and evidence. The ease and accessibility of booking and receiving the vaccine are also highlighted as part of the call to action.
JCVI updates advice on vaccinations for 5 to 11 age group	Weak	The announcement does include a call to action aimed at parents of 5 to 11-year-olds towards the end, urging them "not to contact the NHS until further details have been set out". However, the language used is not particularly urgent or compelling, and the action to be taken (not taking action, in this case) is in response to a future development, rather than immediately. Hence, the call to action can be seen as weak.
UK donates over 4 million doses of Oxford-AstraZeneca vaccine to Bangladesh	None	This announcement is essentially informing about the vaccine donation from the UK to Bangladesh, COVAX, the programs to tackle COVID-19, and the agreements that ensure access to the vaccine at a non-profit price. However, it does not ask or urge the general public or readers to take any specific action. Instead, it focuses primarily on government actions and plans.
Government's Vaccines Taskforce has worked "decisively" and at "great pace" to improve UK's pandemic preparedness	Weak	The announcement references the need for the public to remain vigilant and continue following safety guidelines, as mentioned in Prime Minister Boris Johnson's comment, "But we still have some way to go and everyone needs to keep following the rules to keep the virus under control". However, this is a quite general reminder and doesn't strongly urge the public or reader to take specific or immediate action regarding the vaccine, thus making it a weak call to action. The rest of the announcement broadly discusses government efforts, achievements, and plans.
MHRA approves the Moderna COVID-19 vaccine ‘Spikevax’ for use in 6 to 11-year olds	None	This announcement is solely informational and does not make any specific call to action towards the public or reader. Rather, it details the approval of the Moderna COVID-19 vaccine (‘Spikevax’) for 6 to 11 year olds in Great Britain and mentions the responsibility of the Joint Committee on Vaccination and Immunisation (JCVI) to advise on the deployment program. The main purpose is to inform the public of these actions and updates, but it does not explicitly urge the reader to participate or respond in any way.
MHRA issues new advice, concluding a possible link between COVID-19 Vaccine AstraZeneca and extremely rare, unlikely to occur blood clots	Moderate	In the announcement, the public is encouraged to continue with their vaccination appointments when invited to, with the call to action represented in lines such as "Anyone who did not have these side effects should come forward for their second dose when invited" and "It is still vitally important that people come forward for their vaccination when invited to do so". The language used suggests a moderate urgency for the public to follow the guidelines and take part in the vaccine rollout. However, these calls to action are nestled within an informative text primarily discussing the nuanced risks of the AstraZeneca vaccine, which somewhat dilutes their impact.
More than 10 million people receive first dose of COVID-19 vaccine in UK	Moderate	This government announcement includes a moderate call to action as it encourages the public to actively participate in the rollout of COVID-19 vaccines. While the language used does not exhibit a sense of urgency or threat, it outlines certain responsibilities for the public in the vaccination journey. These include helping those eligible get their vaccines, signing up for clinical trials, and staying informed about the vaccination process from credible sources. The communication demonstrates the essential role the public plays in this process, urging readers to engage fully but without instilling immediate urgency or pressure.
Government asks regulator to approve supply of Oxford/AstraZeneca vaccine	Moderate	The announcement suggests that the public continue to follow the "Hands. Face. Space" guidelines along with other public health advice, although the language used to convey this is not particularly urgent or forceful. Most of the announcement is focused on detailing the plans and updates regarding the Oxford/AstraZeneca vaccine's authorization process, thus the call to action is not the primary focus.
Health Secretary and DCMO statements on JCVI advice on third jabs	Moderate	Sajid Javid, the Health and Social Care Secretary, encourages all eligible individuals to get their COVID-19 vaccines as soon as they can, to protect themselves from the virus and its adverse effects. However, the language isn't compelling or urgent, and no immediate action is required from the reader. Furthermore, no instructions or guidelines on how to get the vaccine are provided, hence it is classified as a moderate call to action.
UK signs deal with Pfizer/BioNTech for 35 million vaccines	None	This announcement primarily informs the public about the government's actions and plans concerning the COVID-19 vaccine, including contracts, booster programmes, donations, and other efforts. However, it does not explicitly urge the public or the reader to take any specific action, such as getting vaccinated or following certain guidelines. The emphasis is on the government's operations and achievements, rather than on a specific action that the public should take.
Oxford/AstraZeneca COVID-19 vaccine: MHRA statement confirming letter received	None	The announcement is simply informative in nature and does not suggest or encourage any action on the part of the reader or the public. It outlines the procedures and standards that the MHRA will undertake to review the safety and effectiveness of the Oxford/AstraZeneca COVID-19 vaccine, pure informational content without any request for public involvement or action.
Statement on AstraZeneca COVID-19 vaccine following MHRA update	Moderate	The government announcement does suggest urgency in the matter of vaccination, but the language used is more informative and less persuasive. The main call to action is when the statement mentions "When people are called forward, they should get their jab." This indicates that people should take the vaccine, but it doesn't create a pressing immediacy for readers. The announcement also states individuals who have had their first AstraZeneca vaccine should receive their second dose. However, the announcement puts more emphasis on presenting facts and reassuring the public about the vaccine's safety and efficacy, hence making the call to action moderate.
The fightback against coronavirus	Strong	The announcement strongly encourages the public to take immediate actions. The points of calls-to-action include urging people to stay at home unless absolutely necessary, to accept testing when offered, and to maintain social distancing. There's specific messaging for workers and employers to get tested, especially if remote work isn't possible. The language is direct and compelling throughout, strongly emphasizing the importance of individual action in controlling the virus spread. The testing and adherence to the rules also apply to the people who have already received the vaccine, providing a clear call for continued action despite vaccination. Moreover, the repeat call to continue adhering to social distancing and prevailing rules enhances the overall strong call to action.
Valneva COVID-19 vaccine approved by MHRA	None	This announcement primarily serves to inform about the MHRA's approval of the Valneva vaccine, the process behind it, and the characteristics of the vaccine. There is no point in the text where the government implores the public or readers to take specific action related to this information. The only potential action item for the public would be to contact the MHRA, but this is presented as an option for enquiries, rather than a direct appeal for the public to take action.
June Raine: How we backed a COVID-19 vaccine before rest of the West	None	Throughout this government announcement, there is no explicit urging for the reader or public to take action against COVID-19 or take part in the vaccine rollout. The focus of the announcement is mainly on informing the public about the processes the government has taken to ensure the Pfizer/BioNTech COVID-19 vaccine is safe, effective, and ready for use. No specific participation or immediate action from the readers or general public is asked for.
Carers urged to get COVID-19 booster now	Strong	The announcement strongly urges both caregivers and care home residents to get the COVID-19 booster vaccine as soon as possible. Direct, compelling language such as 'get boosted now' and 'come forward and protect themselves and those around them' is used to stress the urgency. There is also a clear call for the public to 'play their part', establishing a collective responsibility. Additionally, information on how to book their appointments online and that vaccination centers are offering priority access to caregivers and social care staff is given, showing a strong call for immediate action. Finally, lower vaccine uptake among the staff is specifically mentioned to encourage them to get vaccinated.
Health Secretary statement on COVID-19 vaccines for 5 to 11 year olds	Weak	The announcement casually mentions that parents can choose to take up the offer of vaccination for their children, if they want, in order to increase protection against potential future waves of COVID-19. It's a call to action but there is no emphasis, urgency or compelling language. It's more of an open suggestion to parents, thus making this a weak call to action.
Government accepts JCVI advice on COVID-19 vaccination programme	Strong	The announcement strongly emphasizes that everyone eligible should get their top-up (or booster) jabs as soon as possible. The statement "I urge everybody to get your jabs as soon as you can" is a direct appeal to the public to take immediate action, thus qualifying as a strong call to action. It uses compelling language, presenting the vaccine as the best way to protect oneself and one's loved ones, reinforcing the need for immediate action. The announcement also indicates the urgency and importance of the COVID-19 vaccination to national health.
Health and Social Care Secretary NHS providers conference speech	Weak	This announcement mentions the ongoing effort to deal with the COVID-19 pandemic but makes no strong or direct requests for the general public to take action. While it acknowledges the role that the public played in cooperating with previous measures such as vaccinations, it does not adequately urge them to continue engaging in any specific actions related to the pandemic or the vaccine rollout. The focus is largely on appreciating the efforts of the NHS and explaining government strategies and plans.
Boosters prevented over 105,000 hospitalisations, UKHSA analysis estimates	Strong	In this announcement, there are strong calls to action directed towards the public. Sentences like "so I would encourage anyone who has not yet come forward to do so as soon as possible" and "I urge anyone who’s yet to come forward to get your first, second and booster dose to protect yourself and your loved ones" are explicit urgent demands. They appeal to the audience to get their vaccines and booster shots urgently, using compelling language such as "protect yourself and your loved ones." These calls to action align with the label of "Strong."
JCVI issues new vaccination advice for children and young people	Moderate	The announcement encourages parents and guardians to have their children vaccinated if they are in the specified age groups and risks categories, and alerts the public to the rollout of booster doses for certain age groups. However, the language used is not particularly urgent or direct but emphasizes the importance of vaccination in the context of the overall public health strategy. The call to action could be considered moderate because while it prescribes specific actions, the language primarily serves to inform and depends on the reader to interpret and act on the information given.
Alister Jack welcomes coronavirus vaccine rollout to Scotland	Weak	The announcement contains a weak call to action as there is not a strong or a compelling urge for the public or reader to take immediate steps. The primary focus of the announcement is on informing the public about the vaccine’s rollout, efficacy, and its distribution process, stressing the successful efforts of government and scientific community. It does suggest that citizens should not relax their guard and continue to follow hygiene and social distancing rules, and take the vaccine when their turn comes. These aren't direct requests placed with a sense of urgency, thus it is considered a weak call to action.
Almost 80% of eligible over-75s receive spring booster	Strong	The announcement calls to action the public with strong urgency. It directly urges eligible individuals to get their Spring booster jabs, emphasizing how it significantly increases protection from COVID-19. It instructs individuals to book appointments via the NHS website, also providing a contact number for those unable to access online services. Urgent phrases such as "as soon as you are eligible, please come forward," "I would urge anyone who is eligible to come forward," and "to come forward and book in" make the call to action compelling and immediate.
UK government secures additional 40 million doses of Valneva vaccine	None	The given government announcement does not contain any direct requests or urging for the public or reader to take any specific actions related to the COVID-19 vaccine rollout. Instead, the content primarily focuses on informing the public about the UK Government's strategies and accomplishments, including securing vaccine dosages, creating jobs, and supporting vaccine production facilities. The emphasis is on sharing information rather than impelling any form of engagement or action from the public or reader.
Latest findings from antibody surveillance study published	Moderate	The announcement generates a certain degree of urgency by asking the public to accept the offer of the vaccine once it is made available to them and to follow the existing rules to avoid spreading the virus. The Health and Social Care Secretary emphasizes on booking an appointment for vaccination when invited and urges the public to continue following the regulations. Although this is not as compelling as a 'strong' call to action, it is not mere general advice or recommendations as seen in 'weak' call to action. Therefore, a 'moderate call to action' appears to be the adequate classification.
PHE publishes COVID-19 vaccine guidance for health and social care workers	None	The announcement provides an update on the immunization process for COVID-19 in UK. It gives detailed information on updates about various aspects such as storage, dosing, vaccination of high risk groups, training materials and potential adverse effects. The statement includes remarks from government health professionals but lacks any specific or implied request for action from the general public or reader. It's all informative and does not ask the reader to respond or take any action.
UK government secures additional 2 million doses of Moderna COVID-19 vaccine	Moderate	The announcement encourages the public to continue following health guidelines until vaccines are approved and available. It emphasizes adherence to the Hands, Face, Space guideline, and to follow other public health advices, maintaining a moderate tone without the use of forceful or urgent language. Rather, the tone is more of a persistent urging, laying stress on the importance of these health precautions.
JCVI advises inviting people on Learning Disability Register for vaccine	Weak	The announcement provides recommendations for the Joint Committee on Vaccination and Immunisation (JCVI) supports for the NHS plan, individuals on the GP Learning Disability Register, and the prioritisation method for COVID-19 vaccination. However, there is no strong or direct call made to the public or reader to take action related to these plans. The announcement mainly focuses on informing the public about how the vaccination is expected to roll out for patients with learning disabilities. It's merely implied that the readers (those on the GP Learning Disability Register and their caretakers) take the action of getting vaccinated when invited.
Care home vaccination follow-ups	Moderate	The announcement does imply a degree of urgency and the need for action from the care home managers or anyone related to nursing homes who have not yet been visited. However, it is presented rather professionally and courteously with an emphasis on the importance of participation, hence the label of 'Moderate'. It does not possess the assertiveness and pressing language that would warrant a 'Strong' label.
Vaccine uptake among pregnant women increasing but inequalities persist	Moderate	The announcement encourages action from the readers, specifically pregnant women, to get their COVID-19 vaccination by highlighting the urgency and importance of it. It emphasizes that the vaccine provides high levels of protection against serious illness and hospitalization for pregnant women and encourages them to go for vaccination. However, it does not strongly insist or urge immediate action. Also, healthcare professionals are placed as readily available for addressing any concerns, which further provides a supportive statement rather than a strong demand.
Over half a million people taking part in pioneering COVID-19 research	Moderate	The announcement encourages the public to continue to participate in research trials and vaccinations, asking them to visit the Be Part of Research website and to sign up to the NHS COVID vaccine register. However, this is not presented as an urgent or immediate necessity but rather as a voluntary action with significant community benefits. This makes the call to action moderate, rather than strong.
UK hits 30 million boosters as push continues to Get Boosted Now	Strong	This government announcement is clearly urging the public to immediately get their COVID-19 boosters. This is exemplified by phrases like "I am urging you – please, keep coming forward to Get Boosted Now." and "the single most important thing you can do is come forward for your life-saving booster jab". The language is direct, urging, and it specifically targets the public to take the action of getting vaccinated. The frequency of these calls throughout the announcement strengthens the urgency and the importance of the action they are calling for.
Leading dating apps urge users to Get Boosted Now to help find more matches for Valentine's Day	Strong	The announcement prominently urges young people to get their booster vaccines and encourages them to show their vaccine status on their profiles on various dating apps, emphasizing that it increases the odds of receiving matches. The 'Get Boosted Now' campaign along with the endorsement from various dating apps, and the statements from the Vaccines Minister and other parties such as the CEO of Match Group, and the Director of Grindr for Equality, all contribute to a very strong, urgent call to action that is directed at the readers. Additionally, the focus on Valentine's Day creates a sense of urgency, bolstering the strength of the call to action.
UKHSA updates clinical guidance on vaccinations for 12 to 17 year olds	Moderate	The announcement encourages the readers, comprised of people aged below 18 and parents of those individuals, to take action. It encourages them to accept the change in timing for taking the vaccine dose after a positive COVID-19 test and to get vaccinated 12 weeks following the test instead of within 4 weeks. Additionally, it urges these individuals to contact their healthcare providers if they experience certain symptoms post-vaccination. However, the language used is not compelling or urgent, more informative in nature which makes it fall under moderate call to action.
UK hits 12 million top-ups in record-breaking week	Strong	This government announcement strongly urges the public to take immediate action in getting their COVID-19 vaccines and the booster shots, especially for those eligible. Various officials and leaders urge all eligible individuals to "get your jab as soon as possible", "come forward for a first dose, second dose or booster", "give yourself the vital protection of the life-saving vaccines", and "book in as soon as possible". They emphasize the urgency and ease of getting vaccinated as a way of personal protection ahead of the winter months and for the protection and well-being of their loved ones.
Vaccines highly effective against hospitalisation from Delta variant	Strong	There are several instances in the announcement where it strongly urges the public to get their second dose of the vaccine. In particular, Health and Social Care Secretary, Matt Hancock, Vaccines Minister, Nadhim Zahawi, and Dr Mary Ramsay, Head of Immunisation at PHE, each state clearly how crucial it is for individuals to get their second dose and to book this as soon as they've been offered it. The language used is direct and the message is compelling; it is stated that taking the vaccine will help save lives and aid in recovery from the pandemic.
Health Secretary statement on spring COVID-19 booster vaccinations	Strong	The announcement provides a strong call to action for its readers. It compellingly encourages everyone to get their top-up vaccines as soon as they are eligible, with the comment "It’s important that everyone gets their top-up jabs as soon as they’re eligible." The statement "I urge everybody to get your jabs as soon as you can" also gives the message a strong degree of urgency. Additionally, it encourages anyone who hasn't gotten a booster yet to "come forward to Get Boosted Now." The use of direct and strong language is specifically aimed at the public to prompt immediate action.
Push to protect and vaccinate rough sleepers with £28 million government funding boost	None	While this announcement discusses actions being taken by the government to increase COVID-19 vaccination rates among homeless populations and rough sleepers, it does not explicitly urge the general public or reader to take any action. The focus, instead, lies on informing the public about the government's measures, the funding they are providing, and success of their previous initiatives. However, there's no direct call to action for the public.
Health and Social Care Secretary's statement on coronavirus (COVID-19): 10 December 2020	Strong	The announcement strongly urges the public to take immediate steps. This includes actions such as respecting the rules to stop the spread of the virus, participating in testing (especially if they are secondary school aged children in London), adhering to preventative measures (despite the vaccine rollout), and not adding pressure to the NHS. The announcement repeatedly employs direct commands aimed at the public with a sense of urgency and persuasion, such as "we must all play our part and stay on our guard, now and through Christmas", "don’t blow it now", "we’ve all got to do our bit", "we all have to keep acting as if we still can pass it on", and "we need to take targeted action immediately".
Over 50s to be offered COVID-19 booster and flu jab this autumn	Moderate	The announcement does encourage the public or reader to take action by getting the COVID-19 booster and the free flu vaccine when eligible and when invited, as highlighted in Dr. Mary Ramsay’s comments. However, the call to action is somewhat indirect and implicitly intertwined with the provisioning of information, and the urgency is not strongly assertive, which is why it's categorized as a moderate call to action. The announcement notably ends with a note asking people within the mentioned groups not to come forward until more information is released, implying they should wait for additional instructions.
COVID-19 vaccine authorised by medicines regulator	Moderate	The announcement encourages the public to act. Firstly, there's an implicit call for the priority groups, including care home residents and staff, people over 80, and health and care workers, to prepare to receive the vaccine. Secondly, there's a more explicit call to action where Deputy Chief Medical Officer for England Professor Jonathan Van-Tam encourages eligible individuals to be ready for their appointments in the coming weeks, and to continue abiding by given guidelines in terms of social distancing and general behavior. While the urgency is emphasized, the language is more inviting than demanding, therefore it's a moderate call to action.
An update on the coronavirus vaccine, 2 December 2020	Moderate	The announcement encourages the public to take certain actions, but it doesn't strongly insist on immediate execution. The speaker pushes the public to keep following the new rules, remember the basics (hands, face, space), and get a test for maintaining control over the virus. Furthermore, the speaker emphasizes that when called for vaccination, people should respond quickly for their protection and that of their community. However, the language does not suggest any immediate or imminent consequences if these actions are not taken right away. Thus, the urgency is moderate.
Large-scale coronavirus vaccine manufacturing begins in Scotland	None	The announcement does not urge the public or reader to take any specific action. It is primarily focused on informing the reader about the progress of the Valneva vaccine, the beneficial job creation it brings, as well as the commitment and investment of the UK government toward it. It does not explicitly ask the public to take part in vaccination rollouts, follow guidelines, or perform any other specific action.
Moderna to open vaccine research and manufacturing centre in UK	None	This government announcement primarily focuses on informing the public about the new partnership between the UK government and the Moderna pharmaceutical company. It emphasizes the benefits of this partnership for the NHS, research, job creation, and the UK's status as a scientific superpower. However, there's no direct call to action or encouragement for the public or reader to take any specific steps or actions in response to this news.
Foreign Secretary's visit to India: joint press conference opening statement, 15 December 2020	None	The announcement does not contain any explicit call to action for the public or reader. It focuses mainly on sharing information about the collaborative partnership between the UK and India, detailing various areas of alignment, such as trade and investment, defense and security, climate change, and education, research, and innovation. It amplifies the cooperation on producing the COVID-19 vaccine through the partnership of Oxford University, AstraZeneca, and the Serum Institute of India but does not instruct the reader or broader public to undertake a particular action.
£22.5m of funding announced in new community push to get nation boosted now	Strong	The government announcement strongly calls the public or reader to action by urging them to get the COVID-19 vaccine or booster dose. Phrases such as "Get Boosted Now", "we are calling on people to Get Boosted Now", "please play your part", "It is extremely important everybody gets their COVID-19 vaccine now", and "it’s never been more important to get vaccinated so please get boosted now" indicate a strong impetus for immediate action. The announcement also encourages people to engage with the vaccine ambassadors deployed in 21 popular areas across England, visit the vaccine centres, attend community events, and even check out the traveling vaccine bus – all of which are specific actions that the public can take. This consistent urgency, combined with specific actions, signifies a strong call to action.
New research reinforces the efficacy of COVID-19 vaccines	Strong	The announcement strongly encourages the public to get vaccinated, highlighting the importance of the booster doses especially, with direct statements like "it is crucial to get vaccinated" and "it is vital that everyone eligible takes up the offer of a booster as soon as it is offered", using language directed to demand immediate action from the readers. This demonstrates a strong call to action.
Sir Richard Sykes appointed chair of Vaccine Taskforce	None	The announcement does not ask the public or the reader to take any specific actions. The content is primarily focused on providing information about Sir Richard's role in the Vaccine Taskforce and the progress of the COVID-19 vaccination program in the UK. There are no recommendations, requests, or appeals directed towards the public or the reader included in the announcement.
Rugby figures urge fans to get vaccinated and ventilate indoor spaces	Strong	The announcement carries several emphatic instructions for the public to follow. The public is instructed multiple times to get their booster shot "as soon as possible", ventilate indoor spaces when socializing, regularly get tested using lateral flow tests, wear face coverings in enclosed spaces, and continue these practices even when asymptomatic. The health and social care secretary reiterates these instructions and strongly requests that those eligible get their booster shots quickly. Additionally, the idea of participative self-care is promoted throughout the announcement, with the public being asked to contribute to maintaining low COVID-19 levels.
Health Secretary statement on Vaccines as a Condition of Deployment	Moderate	The announcement seeks to encourage the public, particularly those working in the health and social care sector, to get vaccinated against COVID-19. It repeatedly mentions the need for vaccination to protect oneself, colleagues, and the vulnerable sections of the population. There's an underlined importance for NHS trust staff and social care workers to get vaccinated, emphasizing the role they play in ensuring public health safety. However, the call to action is nuanced and mostly implied, hence the moderate label. There is no explicitly pressure-filled language or immediate urgency specified.
People urged to get booster jabs to keep your family protected this Christmas	Strong	This announcement strongly urges the public to take immediate action regarding getting their booster or second jab for the COVID-19 vaccine. This urgency is consistently presented throughout the announcement, with phrases like "Eligible people urged to get COVID-19 booster vaccines ahead of Christmas", "People are encouraged to come forward for their jabs as soon as they are eligible", "those eligible for a booster have been urged to take up the offer as soon as possible", and "please get your vaccines as soon as you can so we can keep the virus at bay". The repeated appeal to book and take the vaccine enhancing the strong call to action. Also, practical information is provided as an aid for the public to act, such as booking methods and the location finder for walk-in sites.
Latest data reinforces the safety of COVID-19 vaccinations in pregnant women	Strong	The announcement repeatedly urges pregnant women to get vaccinated, emphasizing the importance of the action for their own and their babies' health. Strong calls to action are given by Dr. Gayatri Amirthalingam, Professor Lucy Chappell, Dr. Alison Cave, Dr. Mary Ross-Davie, and Dr. Edward Morris, all of whom urge pregnant women to get vaccinated right away. The language principally addresses the reader directly, suggesting immediate action, thus representing a strong call to action.
Self-isolation removed for double-jabbed close contacts from 16 August	Moderate	The announcement urges the public or reader to take action in a few ways. These include the advice for double-jabbed individuals or under 18s identified as close contacts of positive COVID-19 cases to take a PCR test; the recommendation for double jabbed people as close contacts to take precautions such as wearing face masks and limit contact with others; and the advice for everyone in England to take up the government's offer of free, twice-weekly rapid testing, especially those who show symptoms. However, the language used is more informative than directive, hence the labeling as a moderate call to action.
Coronavirus (COVID-19): letter from Minister Eddie Hughes to local authorities on plans to protect and vaccinate rough sleepers	None	The given announcement does not contain any apparent instructions or encouragements directed towards the public or readers. The content seems to focus mainly on informing about a letter from Eddie Hughes, minister for Rough Sleeping and Housing, to all local authorities in England.
UK shares experiences to increase confidence in vaccines	None	This particular announcement does not contain any direct appeal to the public or reader to take any specific action. Instead, the focus is mainly on describing the actions of the government - particularly the virtual seminar hosted by GCSI - and their collaborative effort to share communication strategies regarding vaccines. The seminar targets public officials from Latin America, rather than the general public, furthering the lack of a clear call to action directed at the public or reader.
